 ,x,1 (img_000000000_Default_000.tif),2 (img_000000001_Default_000.tif),3 (img_000000002_Default_000.tif),4 (img_000000003_Default_000.tif),5 (img_000000004_Default_000.tif),6 (img_000000005_Default_000.tif),7 (img_000000006_Default_000.tif),8 (img_000000007_Default_000.tif),9 (img_000000008_Default_000.tif),10 (img_000000009_Default_000.tif),11 (img_000000010_Default_000.tif),12 (img_000000011_Default_000.tif),13 (img_000000012_Default_000.tif),14 (img_000000013_Default_000.tif),15 (img_000000014_Default_000.tif),16 (img_000000015_Default_000.tif),17 (img_000000016_Default_000.tif),18 (img_000000017_Default_000.tif),19 (img_000000018_Default_000.tif),20 (img_000000019_Default_000.tif),21 (img_000000020_Default_000.tif),22 (img_000000021_Default_000.tif),23 (img_000000022_Default_000.tif),24 (img_000000023_Default_000.tif),25 (img_000000024_Default_000.tif),26 (img_000000025_Default_000.tif),27 (img_000000026_Default_000.tif),28 (img_000000027_Default_000.tif),29 (img_000000028_Default_000.tif),30 (img_000000029_Default_000.tif),31 (img_000000030_Default_000.tif),32 (img_000000031_Default_000.tif),33 (img_000000032_Default_000.tif),34 (img_000000033_Default_000.tif),35 (img_000000034_Default_000.tif),36 (img_000000035_Default_000.tif),37 (img_000000036_Default_000.tif),38 (img_000000037_Default_000.tif),39 (img_000000038_Default_000.tif),40 (img_000000039_Default_000.tif),41 (img_000000040_Default_000.tif),42 (img_000000041_Default_000.tif),43 (img_000000042_Default_000.tif),44 (img_000000043_Default_000.tif),45 (img_000000044_Default_000.tif),46 (img_000000045_Default_000.tif),47 (img_000000046_Default_000.tif),48 (img_000000047_Default_000.tif),49 (img_000000048_Default_000.tif),50 (img_000000049_Default_000.tif),51 (img_000000050_Default_000.tif),52 (img_000000051_Default_000.tif),53 (img_000000052_Default_000.tif),54 (img_000000053_Default_000.tif),55 (img_000000054_Default_000.tif),56 (img_000000055_Default_000.tif),57 (img_000000056_Default_000.tif),58 (img_000000057_Default_000.tif),59 (img_000000058_Default_000.tif),60 (img_000000059_Default_000.tif),61 (img_000000060_Default_000.tif),62 (img_000000061_Default_000.tif),63 (img_000000062_Default_000.tif),64 (img_000000063_Default_000.tif),65 (img_000000064_Default_000.tif),66 (img_000000065_Default_000.tif),67 (img_000000066_Default_000.tif),68 (img_000000067_Default_000.tif),69 (img_000000068_Default_000.tif),70 (img_000000069_Default_000.tif),71 (img_000000070_Default_000.tif),72 (img_000000071_Default_000.tif),73 (img_000000072_Default_000.tif),74 (img_000000073_Default_000.tif),75 (img_000000074_Default_000.tif),76 (img_000000075_Default_000.tif),77 (img_000000076_Default_000.tif),78 (img_000000077_Default_000.tif),79 (img_000000078_Default_000.tif),80 (img_000000079_Default_000.tif),81 (img_000000080_Default_000.tif),82 (img_000000081_Default_000.tif),83 (img_000000082_Default_000.tif),84 (img_000000083_Default_000.tif),85 (img_000000084_Default_000.tif),86 (img_000000085_Default_000.tif),87 (img_000000086_Default_000.tif),88 (img_000000087_Default_000.tif),89 (img_000000088_Default_000.tif),90 (img_000000089_Default_000.tif),91 (img_000000090_Default_000.tif),92 (img_000000091_Default_000.tif),93 (img_000000092_Default_000.tif),94 (img_000000093_Default_000.tif),95 (img_000000094_Default_000.tif),96 (img_000000095_Default_000.tif),97 (img_000000096_Default_000.tif),98 (img_000000097_Default_000.tif),99 (img_000000098_Default_000.tif),100 (img_000000099_Default_000.tif),101 (img_000000100_Default_000.tif),102 (img_000000101_Default_000.tif),103 (img_000000102_Default_000.tif),104 (img_000000103_Default_000.tif),105 (img_000000104_Default_000.tif),106 (img_000000105_Default_000.tif),107 (img_000000106_Default_000.tif),108 (img_000000107_Default_000.tif),109 (img_000000108_Default_000.tif),110 (img_000000109_Default_000.tif),111 (img_000000110_Default_000.tif),112 (img_000000111_Default_000.tif),113 (img_000000112_Default_000.tif),114 (img_000000113_Default_000.tif),115 (img_000000114_Default_000.tif),116 (img_000000115_Default_000.tif),117 (img_000000116_Default_000.tif),118 (img_000000117_Default_000.tif),119 (img_000000118_Default_000.tif),120 (img_000000119_Default_000.tif),121 (img_000000120_Default_000.tif),122 (img_000000121_Default_000.tif),123 (img_000000122_Default_000.tif),124 (img_000000123_Default_000.tif),125 (img_000000124_Default_000.tif),126 (img_000000125_Default_000.tif),127 (img_000000126_Default_000.tif),128 (img_000000127_Default_000.tif),129 (img_000000128_Default_000.tif),130 (img_000000129_Default_000.tif),131 (img_000000130_Default_000.tif),132 (img_000000131_Default_000.tif),133 (img_000000132_Default_000.tif),134 (img_000000133_Default_000.tif),135 (img_000000134_Default_000.tif),136 (img_000000135_Default_000.tif),137 (img_000000136_Default_000.tif),138 (img_000000137_Default_000.tif),139 (img_000000138_Default_000.tif),140 (img_000000139_Default_000.tif),141 (img_000000140_Default_000.tif),142 (img_000000141_Default_000.tif),143 (img_000000142_Default_000.tif),144 (img_000000143_Default_000.tif),145 (img_000000144_Default_000.tif),146 (img_000000145_Default_000.tif),147 (img_000000146_Default_000.tif),148 (img_000000147_Default_000.tif),149 (img_000000148_Default_000.tif),150 (img_000000149_Default_000.tif),151 (img_000000150_Default_000.tif)
122,121,19468.977,19095.100,19240.831,18766.376,18439.356,18602.097,18241.990,18743.516,18630.613,19078.987,18293.376,17769.533,18004.200,18574.297,18950.163,18565.002,19316.428,19344.503,19555.308,19138.545,18833.835,19471.071,20013.426,19295.433,18797.677,19299.644,18564.023,18329.991,17916.263,18334.734,18576.380,18924.640,19613.169,19533.276,19237.926,19045.609,21039.006,21217.136,19812.806,19578.273,18776.699,19132.490,19354.265,19736.639,19244.142,20010.785,20045.122,19573.019,19423.908,19512.518,18602.224,19570.843,19709.686,19496.992,20613.910,19218.626,20180.244,19896.010,20569.543,19924.747,19984.451,20309.994,19216.557,19006.844,19683.397,19985.805,18904.600,18629.001,18807.065,18468.314,18630.679,18351.777,19024.673,20296.432,20635.452,20546.640,21494.664,21211.672,19355.514,19393.333,19044.864,20042.470,19782.598,19885.816,20087.563,19343.999,20055.224,18866.355,18509.139,19324.104,19119.648,19228.824,19526.260,19456.412,19701.057,19810.732,19912.388,18946.324,19483.106,20047.829,19936.615,19634.889,20588.413,20014.099,19397.006,19791.578,20895.642,20369.366,20528.936,20791.882,19615.463,20946.282,20465.281,20044.365,20157.770,19624.687,20204.511,19708.017,20758.572,20900.480,20140.085,19073.352,20488.643,20367.554,19677.663,20196.320,20545.896,21118.634,20789.528,20839.676,20322.303,19885.056,19871.676,19711.363,20432.196,20591.271,20927.266,20074.104,20113.808,20274.235,19863.302,19605.550,20748.972,20134.467,20624.502,19871.533,21811.439,21388.898,23253.841,21255.351,21580.493
123,122,19417.049,19043.874,19215.772,18729.272,18405.095,18551.064,18164.646,18707.924,18570.276,19013.274,18274.326,17726.826,17916.671,18516.181,18968.605,18521.251,19266.321,19285.567,19538.694,19059.061,18771.326,19438.526,19937.574,19237.115,18712.856,19228.368,18503.239,18303.194,17892.148,18269.132,18529.461,18846.149,19527.637,19444.462,19173.126,18988.232,20938.190,21149.062,19740.017,19447.493,18725.136,19089.766,19303.890,19654.735,19152.327,19968.041,20022.469,19571.167,19368.640,19444.496,18574.758,19517.541,19625.267,19478.237,20572.295,19142.984,20106.880,19835.263,20571.038,19884.012,19943.040,20235.662,19173.768,18965.767,19608.316,19923.821,18831.720,18562.416,18770.551,18406.730,18575.072,18259.156,18970.111,20236.455,20581.554,20454.625,21434.910,21154.941,19294.287,19326.874,18993.221,19998.956,19718.605,19850.533,20001.216,19287.499,20037.599,18796.447,18451.619,19243.810,19031.731,19182.380,19438.702,19386.208,19632.898,19777.217,19842.636,18884.695,19397.772,19996.562,19893.494,19563.254,20538.362,19987.513,19360.226,19737.504,20809.430,20292.240,20475.826,20708.390,19547.710,20883.195,20389.708,19964.105,20116.852,19545.301,20180.072,19627.788,20694.476,20873.204,20056.280,19035.967,20453.032,20348.545,19610.039,20165.658,20459.391,21049.350,20735.759,20801.294,20259.917,19830.300,19856.882,19647.716,20375.609,20526.199,20894.764,20013.895,20085.163,20245.606,19837.147,19551.525,20684.789,20117.722,20561.711,19830.013,21757.148,21333.908,23196.275,21204.769,21571.312
124,123,19419.873,19037.962,19232.970,18723.530,18363.041,18537.792,18145.719,18688.564,18552.832,18988.727,18314.517,17718.756,17951.268,18512.461,18948.425,18501.916,19231.626,19252.221,19493.945,19043.324,18697.588,19381.315,19875.595,19194.078,18654.601,19200.531,18472.179,18260.177,17904.527,18237.136,18501.649,18846.553,19414.179,19358.106,19120.631,18945.464,20845.261,21037.544,19642.177,19350.183,18647.676,18957.973,19276.965,19595.732,19101.922,19936.891,19960.943,19482.017,19295.409,19377.660,18503.010,19469.835,19584.539,19422.149,20502.435,19091.802,20042.934,19776.284,20481.483,19874.527,19903.315,20210.553,19161.794,18933.348,19551.941,19883.589,18791.260,18505.046,18725.063,18351.401,18536.774,18177.777,18880.700,20205.306,20507.762,20393.405,21405.448,21116.915,19254.715,19287.348,18961.162,19973.400,19691.179,19791.455,19941.754,19238.794,19985.091,18775.923,18397.560,19185.409,18977.641,19127.038,19421.987,19348.170,19568.112,19736.749,19787.538,18819.647,19360.678,19933.099,19828.913,19468.629,20468.519,19916.951,19306.013,19712.802,20769.627,20253.164,20423.343,20635.581,19484.918,20871.735,20352.456,19912.837,20092.808,19476.277,20104.828,19573.704,20675.028,20799.980,20011.809,18956.139,20391.234,20298.631,19556.792,20098.617,20356.058,20993.630,20675.461,20781.640,20202.382,19818.242,19799.706,19599.540,20332.239,20469.934,20818.833,19936.269,19978.328,20233.802,19760.092,19489.058,20665.288,20032.438,20530.310,19767.846,21706.025,21260.319,23127.460,21149.951,21547.449
125,124,19432.616,19069.665,19234.706,18749.317,18339.880,18545.911,18125.643,18648.886,18579.785,18971.778,18379.656,17700.195,17989.068,18508.201,18927.017,18479.913,19182.531,19257.116,19446.130,19017.393,18665.878,19324.558,19853.350,19138.400,18649.301,19175.293,18495.716,18218.052,17900.754,18205.179,18481.884,18837.729,19358.248,19254.793,19045.583,18875.424,20738.756,20951.645,19575.793,19259.054,18559.835,18881.695,19275.747,19532.337,19039.353,19863.688,19934.112,19418.839,19233.710,19317.896,18450.697,19388.995,19539.720,19395.730,20461.346,19023.685,19927.783,19728.167,20415.510,19824.228,19872.217,20165.701,19099.808,18852.752,19518.646,19840.435,18743.306,18430.060,18669.301,18289.786,18469.045,18092.842,18856.230,20170.930,20449.542,20354.926,21287.916,21064.753,19180.050,19232.259,18895.352,19945.808,19628.618,19741.907,19891.161,19214.362,19907.867,18725.342,18326.646,19128.153,18929.965,19083.337,19381.954,19318.025,19531.317,19678.666,19751.904,18786.325,19325.428,19870.507,19743.614,19424.821,20395.629,19822.694,19230.775,19674.035,20714.580,20190.033,20334.807,20580.251,19446.247,20821.266,20265.154,19857.919,20057.752,19406.920,20064.943,19511.407,20585.478,20714.813,19936.078,18889.320,20323.693,20256.291,19529.112,20050.919,20305.773,20942.892,20631.229,20724.758,20114.049,19746.237,19709.716,19519.074,20277.187,20434.931,20776.141,19923.596,19916.493,20187.836,19664.308,19410.053,20617.355,19977.987,20481.355,19710.789,21681.651,21243.578,23071.844,21099.151,21506.778
126,125,19436.139,19077.516,19270.081,18788.190,18319.928,18551.083,18149.754,18611.954,18608.388,18977.178,18388.059,17680.879,17999.740,18527.566,18928.347,18448.301,19194.938,19285.554,19431.957,18989.666,18624.386,19308.171,19840.509,19116.268,18671.504,19169.396,18514.871,18162.769,17936.506,18188.308,18454.521,18823.358,19281.023,19159.873,18968.343,18812.755,20617.567,20827.373,19425.578,19180.730,18443.546,18824.882,19205.579,19469.048,18978.085,19820.937,19890.057,19363.576,19175.742,19245.557,18354.104,19327.384,19473.580,19304.731,20428.775,18993.733,19877.493,19663.263,20349.890,19804.928,19860.471,20159.537,19070.411,18814.670,19446.902,19809.171,18702.325,18360.607,18604.939,18242.821,18405.162,18042.066,18758.132,20096.086,20401.996,20319.319,21207.383,21024.262,19140.797,19153.898,18834.048,19922.698,19547.636,19704.042,19841.867,19142.975,19848.791,18632.835,18257.083,19061.576,18879.523,19017.866,19326.809,19303.145,19499.516,19619.915,19693.037,18706.726,19246.261,19826.193,19695.550,19353.524,20326.473,19754.067,19172.673,19600.419,20639.237,20116.067,20262.241,20478.699,19393.851,20777.423,20213.222,19778.195,20004.641,19359.055,20056.396,19438.262,20515.110,20661.526,19894.732,18831.707,20219.750,20216.342,19487.790,19991.984,20244.680,20867.102,20597.722,20665.908,20051.954,19673.806,19696.079,19444.861,20229.256,20413.429,20698.122,19863.109,19845.392,20171.308,19616.614,19328.781,20563.790,19956.185,20434.197,19646.485,21647.400,21186.307,23030.879,21028.098,21468.381
127,126,19438.804,19077.937,19254.045,18775.287,18347.998,18572.320,18213.979,18600.972,18658.540,18998.648,18395.665,17709.438,18028.320,18546.126,18911.573,18457.169,19165.757,19275.239,19436.838,18970.879,18617.030,19255.000,19807.446,19114.773,18677.644,19166.478,18543.163,18129.631,17926.011,18222.956,18496.272,18855.102,19188.940,19043.689,18892.998,18710.023,20491.162,20740.037,19351.269,19086.850,18366.254,18757.661,19140.207,19381.422,18913.021,19736.522,19869.154,19346.034,19124.806,19182.253,18329.765,19240.009,19400.300,19241.503,20383.565,18937.683,19809.662,19615.005,20294.368,19804.435,19831.315,20114.625,19043.350,18767.173,19386.826,19753.032,18667.884,18291.347,18535.028,18137.106,18307.917,17961.414,18684.281,20056.203,20353.091,20252.832,21097.179,20947.335,19054.645,19118.417,18786.320,19853.513,19490.163,19660.238,19773.788,19079.668,19780.982,18577.251,18197.702,19008.957,18799.822,18924.182,19299.958,19261.197,19439.592,19568.868,19672.890,18645.283,19191.942,19766.320,19602.052,19284.434,20250.704,19696.157,19100.779,19512.511,20569.765,20075.998,20142.112,20379.984,19340.000,20771.544,20158.185,19744.128,19933.593,19303.398,19997.215,19391.455,20456.544,20593.121,19829.286,18734.003,20177.609,20175.274,19460.994,19927.530,20172.015,20811.513,20526.786,20652.726,19968.490,19585.736,19649.589,19402.547,20199.434,20348.927,20619.383,19791.990,19777.257,20120.739,19566.528,19262.779,20526.680,19912.768,20375.911,19593.429,21585.603,21124.291,22935.443,20954.429,21428.137
128,127,19451.443,19080.712,19253.256,18768.454,18361.966,18601.686,18255.194,18613.650,18675.985,19042.015,18362.260,17740.253,18041.029,18531.813,18931.896,18456.776,19153.897,19293.810,19439.224,18997.888,18617.566,19223.414,19833.987,19116.001,18699.193,19209.785,18545.420,18113.364,17913.349,18234.571,18559.232,18858.462,19087.735,18982.078,18782.958,18622.987,20354.824,20646.037,19297.977,18978.277,18314.948,18674.476,19071.141,19264.647,18820.658,19678.733,19811.694,19333.523,19040.461,19114.731,18272.964,19152.269,19310.939,19158.058,20358.224,18869.792,19736.757,19512.318,20245.017,19770.640,19815.151,20046.664,18996.690,18710.978,19317.503,19715.553,18582.700,18192.841,18478.546,18085.684,18221.081,17867.257,18620.929,20042.867,20292.238,20175.964,21001.509,20874.256,18960.369,19012.267,18710.014,19845.722,19425.386,19601.764,19697.412,19032.135,19705.685,18492.859,18145.584,18921.223,18726.999,18857.513,19257.237,19192.860,19390.648,19527.161,19642.368,18586.539,19153.551,19730.822,19573.574,19227.110,20192.553,19627.616,19030.073,19466.554,20491.066,19971.113,20094.012,20297.256,19282.555,20699.206,20109.308,19676.775,19893.603,19232.434,19960.434,19331.462,20365.315,20531.068,19742.077,18637.150,20122.683,20108.152,19372.885,19860.387,20093.993,20757.040,20482.309,20548.204,19924.650,19495.127,19595.070,19319.120,20133.324,20305.276,20568.479,19710.373,19703.751,20074.837,19520.296,19210.467,20458.003,19835.478,20265.670,19475.322,21517.639,21096.689,22866.908,20876.346,21421.683
129,128,19480.738,19094.840,19266.619,18794.407,18415.721,18614.145,18326.096,18617.681,18714.477,19090.548,18315.837,17794.108,18030.290,18535.062,18969.075,18487.784,19205.532,19311.998,19471.693,19029.713,18614.626,19241.241,19882.575,19134.995,18774.770,19254.849,18575.475,18141.442,17945.200,18282.110,18577.543,18870.000,18959.026,18910.447,18676.544,18543.760,20232.719,20569.448,19184.044,18896.034,18256.689,18606.987,19016.235,19195.659,18793.071,19640.620,19737.370,19272.672,18985.935,19027.954,18193.224,19083.441,19260.934,19094.722,20282.215,18805.170,19728.219,19441.398,20190.275,19747.094,19778.366,19994.692,18927.410,18603.552,19262.491,19672.729,18517.971,18135.839,18439.196,17993.618,18154.448,17748.539,18534.572,19998.881,20198.941,20106.192,20919.791,20800.495,18894.577,18929.148,18619.901,19772.291,19355.484,19572.872,19609.990,18941.501,19610.923,18426.679,18072.004,18853.331,18666.230,18771.486,19211.074,19130.272,19312.721,19463.672,19566.910,18503.110,19054.508,19670.205,19504.426,19165.651,20116.813,19550.016,18971.669,19354.354,20439.206,19914.611,20004.228,20234.805,19197.917,20635.598,20058.905,19603.277,19825.243,19171.939,19885.545,19251.391,20315.518,20465.099,19690.779,18554.951,20036.752,20031.331,19334.788,19799.286,20016.623,20693.732,20439.039,20481.489,19862.255,19444.879,19535.942,19244.711,20065.287,20246.554,20493.799,19613.133,19602.660,20017.133,19436.563,19125.966,20378.702,19751.954,20208.252,19360.816,21459.059,21043.587,22775.026,20801.292,21414.340
130,129,19443.397,19025.083,19222.501,18739.928,18449.388,18609.077,18310.266,18649.628,18695.739,19072.611,18194.000,17818.687,17940.079,18490.033,18976.796,18486.430,19192.554,19285.838,19434.872,19020.884,18604.657,19240.595,19921.471,19153.956,18803.596,19276.988,18547.970,18163.135,17889.177,18289.711,18578.190,18843.997,18868.352,18824.795,18529.443,18413.422,20080.684,20495.152,19109.821,18809.767,18197.996,18538.380,18941.887,19122.213,18712.562,19563.295,19669.164,19234.350,18926.275,18953.278,18121.319,18989.756,19157.941,19054.964,20219.148,18700.766,19621.917,19371.218,20144.015,19663.928,19740.820,19931.140,18840.868,18529.788,19211.537,19589.697,18443.794,18028.616,18379.157,17931.198,18076.408,17676.843,18463.713,19924.729,20093.742,20054.783,20836.007,20731.926,18821.594,18859.662,18525.623,19679.639,19284.731,19477.097,19585.238,18868.211,19509.715,18336.017,17990.168,18778.978,18600.713,18681.915,19155.101,19079.408,19259.112,19357.399,19515.606,18438.262,18999.746,19616.504,19430.369,19083.811,20017.678,19452.601,18903.330,19311.375,20339.849,19827.132,19917.958,20180.467,19106.458,20554.180,20004.320,19568.917,19741.895,19102.584,19832.085,19165.558,20231.663,20380.243,19608.878,18427.997,19955.823,19969.065,19269.171,19732.375,19948.349,20639.271,20383.118,20412.337,19798.688,19362.709,19455.127,19175.868,20011.782,20179.786,20452.884,19578.470,19557.171,19951.686,19341.423,19044.230,20328.769,19693.842,20156.744,19305.020,21394.166,20986.257,22682.264,20760.929,21388.174
131,130,19426.315,18929.210,19168.531,18660.994,18458.477,18549.284,18257.708,18709.345,18658.371,19060.864,18054.799,17803.843,17832.814,18381.934,18990.208,18499.413,19159.571,19215.383,19427.984,19004.787,18607.880,19249.992,19919.473,19176.704,18796.761,19261.215,18472.267,18196.867,17785.209,18268.359,18543.738,18764.144,18779.814,18729.035,18433.424,18290.168,19937.209,20419.244,19045.982,18711.294,18140.315,18489.058,18876.595,19033.571,18651.179,19521.501,19560.903,19165.016,18823.372,18840.847,18052.548,18915.612,19095.629,18965.465,20151.062,18588.309,19564.148,19291.673,20043.542,19637.017,19713.480,19905.019,18785.571,18503.808,19141.592,19530.977,18344.852,17962.012,18347.089,17857.183,18007.298,17623.461,18398.502,19859.368,20010.349,19984.550,20791.234,20681.293,18782.565,18795.894,18427.176,19586.129,19207.462,19412.216,19518.737,18809.074,19440.384,18286.262,17887.772,18698.774,18502.186,18594.114,19091.603,19023.023,19183.894,19295.917,19479.333,18385.974,18956.021,19565.515,19353.157,18980.292,19969.401,19392.515,18821.296,19246.623,20277.587,19763.209,19830.452,20123.016,19045.241,20454.815,19924.543,19514.451,19664.487,19024.343,19790.446,19112.329,20141.780,20323.029,19529.304,18373.536,19864.017,19941.202,19215.431,19675.752,19877.391,20576.302,20307.200,20337.590,19712.028,19325.885,19423.874,19126.561,19929.095,20120.394,20369.301,19468.348,19491.304,19892.787,19296.125,19014.187,20256.810,19643.532,20115.448,19202.779,21331.510,20910.881,22597.895,20709.212,21347.085
132,131,19364.073,18781.034,19061.824,18511.800,18413.380,18443.247,18131.089,18710.277,18542.992,19020.385,17851.478,17756.089,17671.547,18242.385,18955.205,18445.415,19110.427,19122.178,19394.703,18886.766,18527.161,19269.980,19841.299,19140.587,18704.210,19135.176,18371.408,18204.551,17610.235,18221.362,18500.089,18641.511,18677.358,18650.416,18321.476,18180.932,19768.943,20358.479,19001.290,18627.560,18095.228,18426.635,18819.700,18948.730,18564.866,19461.160,19482.985,19098.627,18730.018,18727.706,18020.248,18829.153,19011.403,18919.949,20083.465,18534.998,19504.311,19213.647,19961.669,19573.004,19669.143,19833.865,18736.252,18414.076,19058.458,19448.463,18275.172,17892.957,18267.605,17842.217,17882.337,17565.324,18325.201,19814.617,19918.068,19930.970,20722.791,20616.805,18728.296,18740.310,18389.316,19558.529,19154.722,19359.724,19482.660,18734.798,19335.759,18216.053,17819.820,18666.840,18486.119,18548.110,19030.550,18975.553,19128.203,19248.755,19416.133,18333.410,18915.983,19498.020,19277.929,18896.728,19901.744,19350.866,18789.894,19205.219,20239.261,19669.547,19781.654,20070.679,19009.992,20402.842,19856.957,19468.159,19573.093,18966.491,19704.526,19065.589,20099.554,20252.869,19475.942,18283.283,19810.830,19861.981,19143.038,19591.916,19800.369,20507.993,20239.374,20292.025,19670.362,19272.804,19374.696,19106.271,19859.611,20029.074,20302.869,19372.095,19430.255,19861.070,19238.291,18955.378,20199.550,19576.501,20057.811,19143.979,21260.241,20815.594,22496.913,20642.475,21314.362
133,132,19276.272,18652.674,18940.204,18371.438,18334.608,18307.405,17947.857,18711.772,18377.958,18932.328,17638.848,17711.874,17515.973,18095.700,18897.955,18428.048,19046.260,19012.882,19324.952,18782.108,18428.716,19265.479,19663.765,19066.427,18524.893,18967.323,18215.722,18190.673,17422.774,18131.118,18338.938,18472.126,18569.808,18592.624,18223.921,18077.838,19627.199,20284.539,18920.041,18570.287,18052.914,18378.010,18771.877,18887.296,18531.827,19426.583,19417.085,19082.153,18565.933,18625.810,17945.031,18796.714,18943.050,18884.362,20015.072,18460.173,19422.681,19114.861,19897.161,19515.647,19627.832,19781.880,18633.784,18383.015,18969.147,19385.510,18168.284,17854.201,18266.692,17810.740,17841.834,17534.761,18255.426,19762.424,19828.081,19852.060,20687.535,20568.628,18688.235,18643.982,18302.412,19528.358,19088.994,19311.120,19404.667,18664.628,19309.280,18177.116,17741.984,18598.084,18400.274,18497.106,18955.476,18863.793,19027.154,19172.148,19301.521,18318.577,18861.161,19436.207,19216.481,18812.628,19851.104,19304.609,18721.569,19165.346,20171.514,19611.797,19750.327,20027.951,18933.322,20320.924,19799.829,19387.678,19494.025,18913.522,19662.863,18995.666,20020.205,20189.428,19398.184,18219.084,19722.611,19753.519,19046.730,19523.715,19719.609,20423.616,20196.473,20211.617,19638.104,19243.905,19365.106,19011.341,19822.937,19989.336,20284.157,19331.587,19371.747,19844.619,19173.891,18916.681,20123.902,19540.807,20044.274,19067.512,21196.278,20758.781,22437.351,20580.891,21309.465
134,133,19142.809,18452.968,18768.584,18198.366,18172.323,18095.886,17706.191,18641.235,18146.110,18736.491,17448.431,17589.642,17297.956,17871.022,18765.918,18315.888,18909.349,18845.311,19190.884,18546.420,18278.096,19162.356,19456.050,18895.879,18281.734,18694.804,17998.216,18114.504,17171.937,17971.813,18145.911,18258.864,18514.028,18509.187,18110.868,17959.305,19452.867,20222.683,18839.210,18496.750,17998.385,18309.139,18755.688,18853.880,18463.479,19353.356,19335.962,19024.952,18467.158,18529.534,17927.607,18724.686,18925.401,18813.894,19952.108,18378.662,19344.077,19052.563,19810.844,19478.407,19568.545,19738.342,18538.704,18338.115,18960.898,19316.128,18122.722,17837.608,18252.106,17771.133,17806.721,17483.929,18224.353,19705.797,19745.884,19833.936,20639.860,20556.081,18644.460,18603.363,18256.796,19494.249,19052.645,19251.849,19365.738,18630.988,19253.893,18147.526,17675.745,18555.637,18380.455,18448.914,18919.056,18804.715,18959.405,19122.659,19247.233,18275.660,18837.545,19428.435,19154.374,18729.308,19762.017,19190.700,18683.712,19106.179,20136.906,19575.649,19690.339,19958.890,18880.974,20289.537,19772.925,19352.095,19415.967,18889.097,19589.978,18922.565,19964.441,20126.658,19332.034,18155.634,19622.692,19672.165,19046.293,19462.168,19645.913,20386.204,20122.881,20188.502,19580.532,19216.188,19317.358,18977.889,19792.148,19911.626,20223.096,19273.631,19313.626,19837.811,19091.639,18834.431,20094.018,19471.150,20017.534,19008.134,21137.842,20698.518,22374.332,20504.428,21273.820
135,134,19004.574,18258.644,18619.844,18031.809,18014.537,17937.099,17505.454,18493.142,17942.591,18546.623,17332.019,17422.527,17099.865,17717.582,18617.769,18229.044,18746.755,18675.921,19028.267,18321.401,18107.345,19004.391,19215.886,18676.318,18016.378,18433.511,17786.618,17979.171,16967.602,17803.508,17924.545,18041.521,18454.109,18457.700,18041.410,17871.590,19318.694,20124.904,18810.808,18402.864,17957.589,18273.703,18688.968,18789.226,18394.999,19283.305,19268.416,18988.298,18389.768,18452.540,17872.140,18690.177,18866.107,18792.919,19919.648,18341.122,19280.966,18996.511,19752.385,19438.141,19581.547,19722.411,18452.761,18300.406,18917.047,19247.279,18058.058,17784.785,18223.264,17731.062,17722.589,17423.599,18209.294,19611.539,19713.818,19812.845,20590.890,20533.186,18607.537,18584.506,18218.665,19488.934,18984.712,19217.616,19294.048,18585.543,19226.811,18088.444,17604.888,18501.404,18358.872,18428.749,18873.153,18735.275,18895.034,19038.710,19232.410,18228.610,18830.283,19360.795,19084.246,18685.954,19681.383,19172.174,18627.359,19047.669,20081.300,19557.321,19637.194,19921.984,18875.455,20182.231,19737.865,19318.475,19380.291,18816.459,19548.280,18847.811,19898.851,20069.548,19265.662,18100.408,19554.136,19660.659,19005.936,19422.518,19593.035,20322.460,20085.116,20132.706,19534.354,19152.883,19297.474,18925.512,19732.032,19869.953,20164.238,19240.689,19272.076,19802.718,19077.976,18828.615,20041.124,19438.391,19971.853,18982.254,21063.441,20653.616,22299.026,20478.037,21212.102
136,135,18859.199,18079.442,18465.651,17896.780,17871.316,17833.318,17326.776,18295.008,17740.469,18323.137,17217.609,17239.651,16932.307,17580.281,18422.908,18105.179,18557.103,18498.473,18835.818,18094.201,17877.021,18783.160,19007.107,18411.847,17778.700,18206.951,17560.515,17746.212,16790.463,17552.035,17747.723,17847.621,18385.918,18400.204,17971.874,17816.984,19186.041,20063.087,18770.306,18339.113,17896.070,18254.614,18670.946,18702.671,18337.091,19207.539,19215.822,18924.272,18290.579,18382.268,17829.562,18648.644,18831.716,18746.131,19832.296,18323.644,19213.777,18956.235,19702.228,19427.857,19562.441,19689.349,18429.018,18273.628,18880.974,19191.395,18022.783,17783.259,18193.630,17698.432,17705.288,17410.541,18165.244,19585.226,19680.207,19774.977,20543.479,20474.721,18616.977,18557.193,18166.853,19426.630,18987.570,19184.280,19252.759,18529.510,19188.581,18064.263,17594.394,18459.396,18327.745,18354.620,18826.617,18693.479,18824.653,18957.805,19184.371,18184.535,18785.162,19309.986,19008.078,18603.265,19632.569,19165.046,18544.777,18956.391,20065.119,19530.025,19621.215,19898.034,18876.108,20123.614,19747.245,19264.363,19348.007,18784.227,19529.612,18772.190,19855.997,20016.331,19215.175,18069.575,19515.018,19597.540,18952.383,19367.392,19535.680,20281.246,20022.651,20086.124,19503.743,19118.186,19261.227,18914.956,19681.247,19808.759,20084.476,19205.773,19229.072,19786.144,19028.354,18818.660,19978.570,19398.802,19904.921,18935.366,21012.153,20602.602,22285.460,20405.090,21176.090
