 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
197,196,32194.649,31990.851,31140.251,29552.814,31528.237,32424.864,32682.547,32552.838,31078.643,31720.852,32459.412,32695.191
198,197,32186.092,31980.326,31251.409,29803.848,31497.118,32449.265,32700.935,32615.288,31004.072,31694.957,32444.024,32681.693
199,198,32198.089,32040.454,31415.923,30075.186,31499.005,32438.179,32742.789,32679.103,30995.025,31664.360,32469.366,32717.457
200,199,32282.454,32203.242,31631.574,30404.403,31543.909,32484.328,32862.802,32809.784,31078.207,31731.446,32542.840,32798.765
201,200,32376.030,32316.826,31871.127,30691.344,31574.958,32526.640,32936.177,32936.683,31148.811,31790.333,32560.717,32851.427
202,201,32416.237,32428.901,32063.623,31046.081,31616.443,32528.874,32992.276,33017.236,31194.673,31843.216,32583.593,32889.648
203,202,32472.908,32514.788,32272.196,31332.966,31605.058,32530.546,33034.971,33063.998,31208.342,31857.004,32588.285,32915.955
204,203,32579.027,32596.599,32538.872,31620.057,31616.168,32602.724,33089.707,33161.135,31236.979,31881.287,32620.404,32982.734
205,204,32650.665,32706.980,32809.737,31972.042,31691.854,32664.135,33159.273,33316.341,31280.250,31893.619,32667.912,33083.384
206,205,32679.452,32907.506,33025.590,32322.654,31709.801,32646.410,33206.484,33414.195,31315.780,31964.133,32670.115,33149.867
207,206,32663.535,32998.516,33165.768,32602.987,31635.462,32641.169,33215.068,33477.599,31297.633,31967.956,32648.824,33142.383
208,207,32665.935,33103.149,33315.427,32827.974,31580.227,32690.801,33306.944,33513.730,31281.606,31953.988,32660.115,33172.966
209,208,32674.020,33188.911,33498.921,33099.058,31540.492,32712.454,33392.342,33555.662,31233.022,31918.165,32655.054,33186.883
210,209,32797.314,33284.724,33786.085,33483.779,31550.719,32777.770,33476.217,33690.305,31192.004,31901.336,32721.486,33280.681
211,210,32882.229,33431.904,34049.240,33918.459,31531.746,32774.947,33483.164,33789.382,31106.302,31896.209,32756.321,33355.947
212,211,32993.676,33592.387,34295.633,34379.747,31512.203,32808.737,33549.802,33920.926,31046.046,31896.553,32800.749,33434.533
213,212,33105.949,33777.589,34553.669,34782.186,31579.979,32874.329,33653.887,34031.994,31043.311,31894.942,32854.467,33557.615
214,213,33166.790,33962.615,34808.484,35154.792,31667.558,32878.159,33767.662,34160.745,31048.910,31922.105,32909.261,33669.951
215,214,33130.909,34049.830,34977.219,35474.960,31669.958,32818.761,33805.870,34212.428,31003.281,31935.061,32903.268,33747.276
216,215,33137.459,34134.483,35140.173,35817.965,31672.845,32821.458,33854.681,34285.237,30986.717,31969.668,32937.103,33833.966
217,216,33153.809,34180.022,35284.364,36149.312,31633.167,32816.784,33922.033,34365.325,30938.760,31941.717,32978.419,33906.525
218,217,33181.120,34226.205,35453.292,36455.177,31599.760,32849.142,34009.174,34477.705,30889.192,31946.845,33004.328,33988.279
219,218,33237.181,34317.751,35658.721,36842.203,31606.345,32892.451,34106.029,34635.699,30865.324,31983.300,33050.600,34069.325
220,219,33290.460,34457.748,35834.382,37291.055,31616.690,32915.151,34190.059,34791.183,30865.051,32111.492,33147.355,34145.224
221,220,33273.100,34591.451,35949.975,37615.371,31568.347,32841.212,34181.911,34881.644,30762.070,32145.638,33143.435,34151.509
222,221,33231.952,34655.128,36085.491,37888.980,31498.712,32766.033,34159.795,34949.760,30604.792,32120.782,33107.464,34107.120
223,222,33249.969,34709.923,36281.432,38144.909,31460.258,32706.155,34159.752,34994.510,30507.056,32080.442,33071.197,34094.394
224,223,33288.768,34792.246,36496.221,38427.494,31450.251,32701.105,34218.453,35052.681,30443.364,32046.337,33076.211,34090.049
225,224,33332.582,34897.722,36714.437,38691.969,31445.355,32708.462,34267.097,35110.034,30389.740,32012.172,33101.530,34153.210
226,225,33377.573,35000.858,36926.534,38930.655,31474.438,32729.397,34374.377,35196.875,30404.595,31988.947,33119.234,34216.171
227,226,33405.094,35089.724,37150.125,39125.313,31488.877,32764.814,34447.990,35291.418,30428.606,31987.816,33181.819,34279.653
228,227,33428.882,35194.339,37359.552,39324.568,31521.610,32795.064,34555.056,35408.550,30500.553,32032.699,33247.846,34354.366
229,228,33468.077,35260.048,37564.392,39542.875,31565.685,32816.944,34639.162,35508.053,30531.082,32042.608,33278.730,34439.582
230,229,33499.385,35365.462,37785.811,39727.614,31589.980,32875.541,34762.752,35636.868,30627.454,32129.726,33327.882,34532.464
231,230,33503.766,35481.540,38011.792,39913.253,31544.366,32871.099,34836.112,35686.875,30605.037,32183.135,33329.328,34612.832
232,231,33487.619,35593.500,38248.655,40113.250,31523.406,32881.140,34930.482,35800.794,30584.188,32219.957,33346.152,34693.070
233,232,33486.944,35714.069,38422.556,40294.864,31537.229,32922.280,35014.092,35887.325,30548.920,32254.972,33350.858,34724.871
234,233,33476.488,35781.962,38543.220,40438.918,31487.477,32905.135,35090.761,35949.797,30512.554,32246.488,33347.363,34747.002
235,234,33494.256,35887.717,38656.346,40541.740,31441.976,32940.335,35206.761,36075.356,30491.826,32207.507,33370.408,34753.021
236,235,33573.506,36051.581,38795.328,40657.964,31475.345,33016.766,35346.751,36211.841,30514.016,32238.041,33412.476,34799.412
237,236,33651.930,36221.930,38963.921,40788.547,31506.975,33048.292,35462.030,36357.324,30530.749,32258.272,33452.222,34829.339
238,237,33684.697,36370.210,39103.137,40913.136,31517.733,33043.910,35508.325,36481.593,30533.937,32218.929,33472.321,34845.372
239,238,33683.701,36510.487,39215.418,41008.045,31501.071,33013.729,35525.802,36566.453,30477.387,32161.509,33427.231,34838.499
240,239,33732.460,36647.701,39381.816,41113.026,31554.361,33042.869,35580.857,36715.306,30508.592,32163.476,33458.363,34892.899
241,240,33747.699,36768.042,39483.461,41204.760,31556.579,33078.617,35612.415,36837.325,30490.204,32143.141,33487.363,34944.354
242,241,33799.522,36903.604,39619.685,41300.197,31561.901,33133.133,35657.399,36962.101,30491.091,32157.035,33506.794,35014.001
243,242,33832.828,37022.934,39741.599,41372.716,31533.735,33153.829,35681.404,37069.748,30473.142,32148.472,33496.080,35047.763
244,243,33868.529,37136.278,39853.243,41471.144,31504.846,33211.747,35736.634,37164.903,30492.537,32152.385,33511.136,35113.035
245,244,33884.509,37224.786,39966.839,41532.751,31480.697,33276.706,35815.851,37270.278,30492.405,32165.488,33555.159,35188.884
246,245,33904.570,37323.569,40051.411,41574.067,31477.336,33365.472,35903.081,37370.934,30513.517,32197.294,33583.466,35236.789
247,246,33974.106,37440.944,40130.816,41610.612,31517.090,33446.551,36024.464,37480.632,30589.222,32221.904,33634.007,35296.002
248,247,34047.355,37592.766,40223.940,41688.064,31576.205,33510.328,36149.705,37610.999,30688.219,32359.986,33708.537,35373.430
249,248,34065.894,37714.368,40252.031,41722.344,31517.430,33516.316,36214.865,37704.746,30670.260,32436.667,33711.542,35398.973
250,249,34144.887,37844.980,40311.852,41775.917,31521.812,33557.952,36352.546,37825.795,30638.985,32440.046,33734.280,35432.012
251,250,34248.904,37960.007,40351.599,41819.693,31575.538,33611.798,36487.725,37896.857,30641.279,32408.305,33777.066,35493.007
252,251,34353.468,38073.811,40391.297,41856.226,31664.395,33637.519,36609.288,37962.471,30700.211,32411.280,33845.614,35569.343
253,252,34429.756,38185.721,40427.046,41918.624,31722.421,33627.901,36680.234,38044.976,30746.016,32460.903,33922.454,35618.359
254,253,34461.587,38258.660,40461.989,41917.899,31748.344,33610.506,36699.138,38091.861,30739.256,32481.723,33953.206,35631.926
255,254,34511.381,38331.243,40478.615,41913.562,31785.867,33648.546,36747.191,38117.418,30712.078,32455.467,33979.478,35689.159
256,255,34631.299,38421.244,40551.664,41952.486,31895.979,33750.194,36821.053,38192.371,30785.247,32490.372,34071.146,35792.057
257,256,34737.530,38509.796,40609.796,41992.169,31938.432,33820.765,36907.813,38258.919,30845.014,32575.120,34150.477,35899.722
258,257,34761.363,38530.834,40628.850,41995.487,31893.304,33844.864,36959.472,38303.391,30829.170,32630.147,34183.716,35931.639
259,258,34758.422,38520.649,40614.984,41977.572,31836.822,33809.894,36933.461,38269.981,30766.335,32619.117,34169.907,35908.414
260,259,34818.590,38555.114,40669.327,41992.001,31901.005,33884.674,37008.382,38329.752,30812.129,32695.773,34195.326,35934.531
261,260,34872.812,38596.603,40728.441,41998.712,31951.029,33962.682,37044.779,38385.405,30880.685,32723.964,34246.389,35981.616
262,261,34908.894,38611.931,40759.885,42010.028,32020.218,34007.752,37091.326,38436.453,30993.754,32744.023,34321.852,35995.720
263,262,34959.137,38636.582,40793.576,42004.588,32081.801,34033.416,37087.012,38458.789,31094.273,32766.386,34405.521,35994.335
264,263,35010.902,38672.073,40823.984,42029.136,32186.013,34085.483,37114.643,38499.267,31200.468,32829.791,34458.058,36027.960
265,264,35007.666,38704.635,40834.940,42023.141,32225.362,34085.876,37122.501,38522.610,31295.783,32848.513,34488.749,36033.066
266,265,35004.132,38743.757,40858.843,42016.476,32225.825,34076.428,37088.453,38559.288,31351.032,32850.184,34528.812,36053.641
267,266,35007.802,38742.309,40845.464,42013.320,32201.257,34050.850,37073.472,38560.222,31371.360,32847.377,34507.314,36040.460
268,267,34989.475,38760.090,40855.123,41984.214,32157.796,34042.012,37044.573,38570.745,31351.139,32821.874,34479.649,36018.459
269,268,34966.968,38768.967,40883.761,41976.061,32076.491,34034.353,36992.438,38569.993,31316.931,32762.879,34427.538,35974.846
270,269,34998.721,38784.475,40892.808,41989.140,32029.619,34039.915,36984.939,38587.795,31294.771,32741.470,34363.100,35958.007
271,270,35010.079,38767.614,40925.963,41971.569,31940.900,34030.954,36923.225,38555.447,31279.915,32698.976,34273.665,35923.595
272,271,35057.262,38801.382,40919.713,41949.216,31945.509,34058.704,36916.980,38567.363,31306.568,32702.445,34231.716,35930.616
273,272,35077.740,38820.916,40935.846,41971.551,31920.945,34059.378,36882.986,38566.718,31372.230,32707.676,34210.347,35944.352
274,273,35084.762,38793.941,40915.765,41961.260,31907.888,34014.576,36846.097,38553.803,31415.170,32704.928,34181.406,35932.309
275,274,35089.553,38807.099,40890.271,41947.207,31878.088,34011.017,36812.427,38507.820,31413.063,32682.737,34149.315,35892.390
276,275,35114.596,38828.882,40879.056,41925.044,31850.230,34038.980,36802.378,38489.593,31459.733,32655.531,34173.093,35891.552
277,276,35125.323,38840.089,40876.298,41940.352,31869.558,34056.800,36819.857,38454.136,31510.353,32663.731,34204.178,35891.981
278,277,35131.795,38828.354,40861.799,41922.359,31850.057,34064.660,36736.102,38399.274,31546.005,32674.435,34215.610,35854.614
279,278,35133.181,38790.895,40825.453,41905.333,31798.290,34019.885,36678.824,38376.899,31504.898,32650.322,34229.848,35814.779
280,279,35140.206,38762.862,40821.287,41905.189,31803.205,34035.818,36669.214,38377.537,31497.762,32668.264,34266.769,35815.545
281,280,35127.056,38745.024,40804.433,41886.932,31862.018,34058.830,36668.385,38371.420,31500.516,32671.418,34281.083,35811.490
282,281,35080.090,38714.635,40793.614,41843.482,31916.375,34045.283,36650.501,38387.474,31547.198,32687.955,34268.739,35808.896
283,282,35041.798,38675.277,40764.009,41819.119,31980.138,34010.498,36633.202,38363.073,31574.139,32766.318,34240.580,35821.119
284,283,35024.917,38635.335,40739.483,41785.132,32001.650,33957.938,36612.426,38346.611,31567.949,32831.018,34201.980,35791.553
285,284,34967.647,38562.769,40689.656,41737.986,31974.233,33884.825,36556.802,38309.919,31511.480,32826.534,34146.818,35728.712
286,285,34913.574,38472.218,40616.479,41689.615,31953.465,33841.777,36462.512,38262.013,31455.546,32836.560,34086.141,35656.749
287,286,34871.186,38375.873,40568.570,41624.205,31953.707,33807.847,36373.001,38237.003,31440.641,32804.681,33969.860,35616.387
288,287,34838.782,38282.422,40509.807,41572.879,31942.360,33782.770,36331.124,38180.162,31433.307,32750.839,33879.147,35590.180
289,288,34793.974,38175.906,40456.713,41508.411,31932.279,33722.156,36262.875,38135.454,31454.188,32695.691,33828.879,35550.146
290,289,34749.210,38126.835,40361.043,41471.065,31953.015,33668.843,36215.423,38106.262,31493.406,32685.374,33786.764,35537.972
291,290,34673.647,38052.168,40240.505,41382.796,31922.236,33583.875,36099.470,38025.855,31452.876,32614.662,33693.225,35451.695
292,291,34638.030,37992.316,40136.595,41289.409,31932.968,33518.204,35972.514,37963.744,31444.035,32554.026,33630.745,35385.438
293,292,34566.686,37904.074,40059.231,41186.695,31952.717,33460.093,35841.530,37906.979,31392.513,32486.779,33544.340,35320.972
294,293,34462.441,37812.417,39957.416,41060.107,31939.493,33377.130,35724.987,37817.966,31322.043,32404.255,33455.596,35223.593
295,294,34339.142,37724.823,39862.776,40938.692,31938.547,33337.864,35586.622,37737.462,31250.502,32320.419,33345.822,35124.812
296,295,34251.560,37646.232,39739.492,40827.191,31955.349,33294.295,35467.254,37651.464,31226.354,32250.801,33264.372,35009.653
297,296,34159.164,37585.587,39617.643,40676.980,31944.601,33216.544,35364.543,37534.687,31140.294,32190.945,33152.708,34846.224
298,297,34023.233,37485.999,39443.634,40518.745,31882.104,33104.197,35226.150,37386.145,31021.136,32073.234,32989.113,34652.348
299,298,33920.574,37362.203,39262.984,40389.113,31806.449,32994.107,35127.358,37249.745,30915.547,31986.080,32844.284,34495.584
300,299,33893.455,37271.297,39129.111,40253.363,31848.111,32896.107,35082.286,37199.910,30946.421,32013.893,32819.744,34396.719
301,300,33842.241,37166.275,38983.139,40088.005,31848.702,32782.964,34997.890,37105.630,30927.933,32073.469,32773.907,34325.200
302,301,33812.329,37011.673,38838.293,39903.135,31833.731,32647.082,34942.339,36991.356,30913.378,32107.965,32680.606,34256.998
303,302,33799.282,36879.257,38707.719,39722.697,31854.955,32549.008,34911.795,36893.498,30912.474,32131.303,32618.510,34173.268
304,303,33834.036,36782.814,38559.063,39527.774,31875.761,32516.352,34865.820,36802.403,30963.610,32155.525,32513.041,34122.680
305,304,33872.358,36710.389,38397.187,39322.923,31919.881,32457.926,34809.823,36712.728,31053.463,32188.133,32498.519,34119.334
306,305,33878.032,36600.548,38240.532,39123.444,31921.772,32422.518,34747.013,36607.815,31086.405,32204.302,32451.816,34075.412
307,306,33893.649,36448.760,37998.165,38912.921,31871.276,32337.390,34640.074,36485.788,31113.559,32216.373,32390.102,34040.357
308,307,33890.876,36260.568,37797.936,38641.205,31838.302,32292.502,34524.617,36375.022,31152.288,32220.310,32358.965,33995.141
309,308,33830.481,36064.519,37586.824,38390.303,31743.186,32222.532,34382.528,36203.626,31112.078,32160.011,32257.968,33919.041
310,309,33755.480,35887.549,37377.140,38151.173,31652.595,32127.561,34254.566,36028.003,31016.147,32066.128,32154.460,33898.995
311,310,33714.916,35691.052,37147.911,37897.463,31595.961,32108.215,34170.692,35907.582,30971.463,31965.738,32089.699,33888.280
312,311,33665.032,35565.155,36940.490,37669.047,31552.890,32064.939,34117.040,35807.305,30963.620,31854.652,32106.370,33916.547
313,312,33644.901,35465.709,36730.045,37386.402,31501.987,32009.712,34032.085,35688.545,30912.572,31807.530,32076.101,33903.013
314,313,33585.980,35334.956,36485.452,37054.152,31453.725,31918.347,33939.507,35530.238,30831.106,31698.068,32019.829,33850.947
315,314,33529.750,35214.492,36223.068,36693.680,31397.857,31892.825,33872.679,35370.703,30739.256,31568.612,32013.870,33812.259
316,315,33523.348,35129.253,36025.869,36358.145,31373.884,31914.519,33875.252,35246.324,30697.174,31487.906,32051.183,33792.420
317,316,33526.064,35070.344,35819.640,36061.504,31377.534,31937.639,33875.695,35143.448,30690.118,31468.968,32076.252,33809.348
318,317,33497.808,34980.660,35555.361,35740.055,31331.191,31922.014,33858.939,35031.176,30620.173,31424.711,32077.473,33793.035
319,318,33489.020,34855.937,35265.281,35431.969,31285.172,31921.349,33858.572,34899.605,30561.830,31370.189,32073.677,33815.028
320,319,33480.729,34771.931,35010.248,35150.163,31274.590,31966.397,33825.269,34775.402,30564.881,31363.296,32132.224,33833.302
321,320,33437.714,34654.746,34750.447,34823.630,31280.671,31953.083,33820.310,34668.324,30516.287,31346.786,32208.886,33824.051
322,321,33421.678,34486.239,34544.230,34496.505,31270.496,31965.902,33773.109,34550.978,30478.862,31290.211,32233.476,33817.505
323,322,33407.357,34348.086,34343.860,34222.283,31244.531,31958.270,33723.225,34419.786,30461.340,31261.677,32241.396,33788.296
324,323,33371.413,34193.003,34142.312,33908.747,31201.912,31923.645,33678.464,34285.783,30415.952,31282.507,32250.627,33703.094
325,324,33329.548,34008.473,33972.272,33575.672,31135.383,31924.855,33584.200,34168.628,30388.646,31268.225,32213.614,33656.185
326,325,33283.349,33827.589,33783.540,33242.890,31068.297,31861.865,33435.703,33986.295,30360.161,31285.657,32190.923,33605.963
327,326,33223.812,33592.357,33539.118,32857.338,30936.526,31798.503,33276.301,33742.410,30312.378,31284.640,32142.851,33555.277
328,327,33176.341,33395.312,33314.995,32576.968,30835.012,31766.034,33139.985,33533.269,30307.062,31262.400,32145.992,33549.762
329,328,33082.404,33183.483,33029.229,32298.608,30745.727,31688.439,32958.912,33337.240,30261.744,31186.183,32134.039,33488.316
330,329,32936.737,32945.741,32728.377,31958.373,30609.236,31553.290,32746.892,33134.689,30163.843,31075.164,32140.997,33447.934
331,330,32820.894,32663.603,32429.036,31577.953,30409.838,31411.752,32515.859,32958.429,30019.196,30977.691,32073.060,33333.410
332,331,32702.892,32417.987,32134.325,31239.111,30273.480,31341.715,32377.213,32834.798,29959.652,30860.088,32038.134,33237.033
333,332,32574.149,32196.971,31876.787,30948.236,30171.118,31284.332,32265.667,32735.524,29950.763,30710.691,32021.701,33166.902
334,333,32450.423,32050.010,31651.040,30714.058,30063.714,31260.699,32163.768,32641.701,29933.461,30551.426,32033.477,33077.253
335,334,32349.616,31969.689,31445.836,30558.110,30042.997,31310.350,32099.220,32597.385,29983.911,30475.345,32067.249,33001.221
336,335,32283.154,31935.508,31269.860,30416.665,30026.178,31371.297,32071.397,32592.858,30051.466,30430.067,32118.508,32993.226
337,336,32219.812,31929.031,31089.735,30237.194,29978.635,31398.087,31995.626,32555.603,30060.438,30417.202,32171.717,32997.155
338,337,32098.636,31829.169,30913.768,30006.078,29962.575,31412.516,31906.557,32456.258,30026.230,30436.209,32209.364,32991.722
339,338,32043.310,31661.456,30760.835,29765.450,29934.700,31445.437,31864.266,32355.591,29984.431,30405.941,32226.981,32960.431
340,339,32016.260,31514.607,30669.996,29599.032,30015.113,31494.983,31846.128,32286.731,30026.283,30395.221,32293.527,32954.452
341,340,31978.259,31382.369,30594.008,29464.453,30087.701,31538.209,31817.259,32213.996,30074.898,30413.903,32390.580,32946.866
342,341,31965.965,31307.099,30566.661,29352.810,30132.243,31572.266,31779.029,32129.592,30076.820,30427.668,32502.024,32955.753
343,342,31956.933,31310.464,30507.822,29261.979,30178.369,31601.180,31738.517,32018.731,30097.400,30435.106,32621.982,32931.093
344,343,31941.154,31350.164,30437.578,29200.491,30246.230,31663.152,31720.455,31922.491,30111.265,30502.198,32693.288,32933.960
345,344,31880.124,31329.741,30300.659,29087.263,30282.005,31701.043,31675.411,31831.871,30139.490,30506.684,32729.535,32913.357
346,345,31769.762,31236.609,30135.762,28955.139,30258.014,31657.223,31600.690,31699.001,30074.463,30465.564,32727.098,32841.183
347,346,31653.859,31107.643,29904.586,28778.085,30129.646,31507.951,31466.875,31548.065,29971.730,30436.744,32702.514,32733.847
348,347,31543.876,30975.811,29685.765,28547.049,29992.819,31412.895,31353.718,31415.728,29881.894,30378.376,32679.904,32642.587
349,348,31376.341,30793.028,29456.055,28290.036,29838.177,31311.327,31191.768,31226.905,29772.238,30255.443,32599.863,32548.910
350,349,31144.704,30596.170,29213.142,27955.753,29646.535,31193.990,30989.481,31010.394,29615.818,30116.244,32469.626,32422.609
351,350,30954.739,30362.777,29015.576,27614.132,29494.806,31105.810,30774.935,30805.635,29444.240,30002.234,32359.654,32305.381
352,351,30794.363,30189.037,28829.391,27307.427,29380.406,31030.350,30614.423,30659.866,29309.695,29948.060,32269.926,32237.487
353,352,30633.012,30039.457,28601.296,27002.603,29259.326,30932.827,30390.638,30525.585,29169.318,29860.843,32162.535,32134.106
354,353,30494.411,29870.569,28364.626,26723.950,29104.199,30801.187,30147.073,30340.399,29020.691,29740.483,32072.481,32009.268
355,354,30451.410,29720.131,28253.008,26499.647,29031.632,30757.131,29970.576,30218.148,28944.831,29618.051,32021.291,31958.935
356,355,30443.829,29629.479,28218.893,26299.564,28980.070,30744.684,29844.378,30122.667,28927.146,29507.208,32055.209,31968.198
357,356,30369.339,29596.587,28113.366,26109.711,28878.404,30668.425,29631.647,29984.605,28915.224,29467.629,32102.443,31890.407
358,357,30224.851,29526.688,27953.146,25854.165,28790.803,30598.166,29466.252,29826.052,28861.158,29409.533,32094.543,31797.579
359,358,30147.514,29392.416,27813.551,25621.610,28647.531,30595.636,29373.105,29681.277,28792.443,29258.475,32019.003,31801.311
360,359,30113.335,29342.899,27743.006,25521.285,28596.013,30612.460,29301.611,29600.094,28779.211,29203.790,32028.301,31847.390
361,360,30053.201,29286.617,27703.451,25455.027,28502.674,30625.832,29266.714,29542.033,28792.714,29296.782,32057.722,31874.275
362,361,29979.491,29169.005,27595.947,25377.726,28349.286,30617.854,29211.657,29480.387,28764.532,29378.503,32021.849,31844.322
363,362,29885.400,29036.357,27477.502,25267.561,28254.178,30614.842,29136.146,29407.898,28677.050,29397.052,31999.416,31807.578
364,363,29800.096,28887.782,27330.272,25154.088,28198.062,30606.439,29076.095,29316.804,28632.644,29412.186,31996.334,31746.005
365,364,29718.481,28706.156,27181.521,24964.926,28162.821,30619.687,29055.565,29169.810,28601.042,29376.180,31951.030,31644.062
366,365,29672.774,28556.446,27044.878,24804.322,28104.910,30683.086,29036.861,29070.474,28563.969,29348.032,31926.544,31550.800
367,366,29654.408,28488.474,26928.976,24668.900,28086.093,30697.135,29054.619,29006.953,28598.397,29335.495,31936.146,31450.223
368,367,29671.426,28491.280,26824.128,24571.238,28067.030,30746.403,29082.746,28943.244,28644.114,29397.776,31999.888,31409.810
369,368,29626.706,28403.405,26638.334,24369.913,28016.716,30694.135,29082.083,28800.173,28650.356,29450.071,31964.589,31301.072
370,369,29560.566,28265.400,26420.639,24128.074,27905.256,30592.612,28981.229,28602.795,28603.542,29481.674,31894.022,31117.832
371,370,29481.321,28102.418,26213.920,23809.394,27792.825,30477.019,28889.504,28413.805,28599.813,29587.354,31865.010,30995.608
372,371,29353.164,27914.010,26053.785,23430.208,27740.002,30318.752,28766.636,28262.245,28574.637,29625.926,31771.893,30851.402
373,372,29213.980,27729.636,25852.433,23023.946,27690.514,30151.781,28658.755,28113.835,28553.698,29636.960,31661.526,30708.745
374,373,29056.481,27597.409,25640.889,22703.301,27632.947,29974.486,28513.979,27982.611,28514.579,29689.217,31593.025,30618.085
375,374,28828.519,27490.754,25343.552,22346.952,27514.113,29767.922,28342.261,27802.524,28464.829,29763.557,31463.726,30469.640
376,375,28592.628,27353.025,25091.162,22042.995,27358.627,29559.767,28175.366,27611.159,28433.433,29829.077,31352.243,30316.570
377,376,28391.294,27171.096,24817.232,21736.441,27186.272,29336.694,27987.711,27337.633,28373.840,29805.739,31224.406,30160.321
378,377,28218.314,26996.620,24577.151,21469.413,27015.990,29153.206,27723.496,27107.279,28334.905,29716.821,31130.890,30006.712
379,378,27996.240,26857.104,24227.803,21201.027,26794.359,28932.202,27430.965,26864.029,28284.110,29648.981,31008.315,29800.494
380,379,27845.802,26687.326,23984.096,21028.140,26610.830,28772.252,27191.634,26750.618,28275.537,29581.847,30919.337,29659.118
381,380,27696.535,26478.404,23797.702,20887.724,26464.375,28655.611,26906.025,26608.768,28327.122,29540.933,30867.310,29516.338
382,381,27514.469,26166.504,23560.134,20600.089,26242.698,28588.419,26582.859,26416.422,28381.569,29444.775,30718.986,29306.610
383,382,27406.536,25901.753,23345.506,20352.847,26050.756,28547.871,26337.627,26277.399,28498.858,29388.253,30609.348,29170.854
384,383,27288.608,25702.453,23168.164,20204.037,25991.209,28481.623,26172.596,26110.396,28661.353,29427.004,30543.916,29020.336
385,384,27151.916,25472.537,22831.618,20009.804,25827.657,28292.278,25950.770,25877.133,28760.149,29435.722,30470.307,28792.018
386,385,26940.247,25126.877,22501.591,19740.361,25691.957,28095.521,25767.345,25590.017,28797.743,29340.366,30295.420,28494.367
387,386,26705.679,24800.911,22301.914,19539.400,25607.486,27969.886,25643.028,25293.760,28791.225,29274.565,30081.634,28316.854
388,387,26592.897,24568.049,22223.609,19477.229,25585.160,27930.074,25621.412,25136.820,28807.921,29241.444,29910.175,28230.238
389,388,26453.993,24377.612,22148.916,19471.430,25521.451,27819.354,25549.905,24914.226,28772.648,29230.712,29740.468,28070.749
390,389,26290.975,24196.004,22024.605,19436.629,25415.143,27674.710,25484.358,24700.396,28680.021,29223.804,29575.695,27942.936
391,390,26248.614,24132.119,21948.587,19441.825,25346.442,27578.286,25460.309,24597.210,28652.545,29317.326,29492.326,27831.493
392,391,26141.629,24057.294,21846.467,19372.450,25291.570,27456.455,25402.528,24525.288,28641.874,29380.621,29378.631,27703.286
393,392,26034.744,23997.440,21756.669,19292.083,25323.578,27319.106,25359.951,24465.526,28644.611,29421.011,29302.061,27498.842
394,393,25930.578,23934.249,21700.639,19175.286,25361.236,27178.452,25335.565,24383.107,28609.935,29445.772,29163.564,27313.331
395,394,25832.254,23916.154,21688.947,19118.974,25390.269,27108.177,25337.071,24311.714,28573.219,29448.100,29013.058,27145.714
396,395,25843.743,23942.778,21776.423,19074.191,25511.377,27035.269,25443.273,24299.179,28573.680,29497.211,28896.845,27093.863
397,396,25921.474,23991.253,21909.207,19123.230,25709.777,27061.188,25626.032,24399.909,28647.414,29579.360,28867.686,27143.104
398,397,26154.130,24185.871,22154.203,19283.646,26046.380,27176.524,25923.899,24612.292,28832.240,29685.691,28972.905,27313.693
399,398,26551.234,24488.199,22521.658,19631.215,26521.285,27420.251,26324.335,24903.029,29091.663,29829.168,29181.613,27601.267
400,399,27226.445,24991.035,23189.376,20210.616,27244.120,27995.680,27001.134,25459.340,29557.834,30067.769,29610.802,28104.849
401,400,28100.358,25846.870,24187.624,21158.574,28149.396,28758.408,27748.700,26312.382,30258.941,30490.744,30184.323,28775.374
402,401,28712.325,26751.948,24959.506,22123.128,28748.494,29095.271,28033.739,26988.360,30917.778,30994.497,30695.864,29216.112
403,402,28348.920,27118.423,24632.147,22240.325,28491.956,28419.936,27307.774,26717.283,30808.738,31329.603,30645.233,28716.754
404,403,27134.983,26386.297,23161.287,20873.303,27384.507,27103.520,25965.349,25423.938,29886.450,30989.951,29769.120,27432.856
405,404,25887.599,24938.433,21628.675,18877.146,26062.020,25988.700,24908.829,23995.677,28747.380,30004.102,28540.579,26247.563
406,405,25358.398,23767.114,20968.400,17609.902,25444.923,25646.247,24574.948,23390.810,28181.942,28933.548,27721.682,25754.962
407,406,25323.282,23404.859,20833.094,17288.174,25350.075,25597.118,24571.410,23334.075,28077.388,28407.835,27432.756,25594.509
408,407,25418.703,23423.740,20888.698,17208.039,25399.992,25685.365,24718.879,23401.420,28106.715,28291.666,27394.051,25636.012
409,408,25583.343,23465.497,21059.075,17159.249,25470.195,25813.018,24882.385,23497.271,28162.490,28217.953,27317.232,25725.263
410,409,25774.437,23627.096,21319.981,17287.487,25656.401,25991.133,25103.457,23719.769,28292.751,28192.952,27340.278,25914.276
411,410,25865.087,23957.100,21420.624,17472.652,25848.601,26080.362,25263.459,23974.682,28408.124,28306.987,27461.619,26042.554
